FILE,AFFINITY_KCAL_PER_MOL
docked_ligand/mol_254_out.pdbqt,0.464
docked_ligand/mol_260_out.pdbqt,-0.763
docked_ligand/mol_262_out.pdbqt,-0.304
docked_ligand/mol_265_out.pdbqt,-0.002
docked_ligand/mol_274_out.pdbqt,0.558
docked_ligand/mol_322_out.pdbqt,0.427
docked_ligand/mol_323_out.pdbqt,0.977
docked_ligand/mol_364_out.pdbqt,-0.287
docked_ligand/mol_365_out.pdbqt,-0.042
docked_ligand/mol_406_out.pdbqt,-0.921
docked_ligand/mol_411_out.pdbqt,0.946
docked_ligand/mol_026_out.pdbqt,1.488
docked_ligand/mol_027_out.pdbqt,1.093
docked_ligand/mol_042_out.pdbqt,1.524
docked_ligand/mol_076_out.pdbqt,1.490
docked_ligand/mol_084_out.pdbqt,1.103
docked_ligand/mol_090_out.pdbqt,1.534
docked_ligand/mol_130_out.pdbqt,1.514
docked_ligand/mol_165_out.pdbqt,1.039
docked_ligand/mol_218_out.pdbqt,1.142
docked_ligand/mol_223_out.pdbqt,1.146
docked_ligand/mol_229_out.pdbqt,1.529
docked_ligand/mol_233_out.pdbqt,1.096
docked_ligand/mol_236_out.pdbqt,1.058
docked_ligand/mol_238_out.pdbqt,1.619
docked_ligand/mol_257_out.pdbqt,1.740
docked_ligand/mol_277_out.pdbqt,1.091
docked_ligand/mol_325_out.pdbqt,1.008
docked_ligand/mol_326_out.pdbqt,1.835
docked_ligand/mol_340_out.pdbqt,1.581
docked_ligand/mol_344_out.pdbqt,1.987
docked_ligand/mol_346_out.pdbqt,1.536
docked_ligand/mol_356_out.pdbqt,1.415
docked_ligand/mol_368_out.pdbqt,1.427
docked_ligand/mol_370_out.pdbqt,1.115
docked_ligand/mol_405_out.pdbqt,1.960
docked_ligand/mol_408_out.pdbqt,1.445
docked_ligand/mol_415_out.pdbqt,1.896
docked_ligand/mol_031_out.pdbqt,2.738
docked_ligand/mol_032_out.pdbqt,2.500
docked_ligand/mol_043_out.pdbqt,2.861
docked_ligand/mol_047_out.pdbqt,2.246
docked_ligand/mol_064_out.pdbqt,2.236
docked_ligand/mol_088_out.pdbqt,2.985
docked_ligand/mol_089_out.pdbqt,2.214
docked_ligand/mol_103_out.pdbqt,2.488
docked_ligand/mol_125_out.pdbqt,2.936
docked_ligand/mol_185_out.pdbqt,2.134
docked_ligand/mol_212_out.pdbqt,2.145
docked_ligand/mol_221_out.pdbqt,2.943
docked_ligand/mol_222_out.pdbqt,2.868
docked_ligand/mol_225_out.pdbqt,2.721
docked_ligand/mol_240_out.pdbqt,2.061
docked_ligand/mol_275_out.pdbqt,2.397
docked_ligand/mol_281_out.pdbqt,2.152
docked_ligand/mol_282_out.pdbqt,2.317
docked_ligand/mol_338_out.pdbqt,2.363
docked_ligand/mol_342_out.pdbqt,2.098
docked_ligand/mol_345_out.pdbqt,2.074
docked_ligand/mol_353_out.pdbqt,2.695
docked_ligand/mol_366_out.pdbqt,2.225
docked_ligand/mol_410_out.pdbqt,2.260
docked_ligand/mol_414_out.pdbqt,2.057
docked_ligand/mol_416_out.pdbqt,2.998
docked_ligand/mol_123_out.pdbqt,3.420
docked_ligand/mol_126_out.pdbqt,3.057
docked_ligand/mol_129_out.pdbqt,3.040
docked_ligand/mol_220_out.pdbqt,3.150
docked_ligand/mol_256_out.pdbqt,3.302
docked_ligand/mol_266_out.pdbqt,3.749
docked_ligand/mol_280_out.pdbqt,3.897
docked_ligand/mol_337_out.pdbqt,3.893
docked_ligand/mol_341_out.pdbqt,3.115
docked_ligand/mol_352_out.pdbqt,3.687
docked_ligand/mol_363_out.pdbqt,3.573
docked_ligand/mol_367_out.pdbqt,3.018
docked_ligand/mol_375_out.pdbqt,3.401
docked_ligand/mol_404_out.pdbqt,3.265
docked_ligand/mol_407_out.pdbqt,3.923
docked_ligand/mol_412_out.pdbqt,3.276
docked_ligand/mol_413_out.pdbqt,3.288
docked_ligand/mol_417_out.pdbqt,3.941
docked_ligand/mol_011_out.pdbqt,4.123
