smiles,node_id,num_expansions,rollout_num,score,pharmacophore,Q_value,num_reactions,reaction_1_chemical_space,reaction_1_id,building_block_1_1_id,building_block_1_1_smiles,building_block_1_2_id,building_block_1_2_smiles,building_block_1_3_id,building_block_1_3_smiles
CCOC(=O)c1ccc(/N=C/c2cccc(SNc3nc4c(C)cc(C(=O)OC)cc4s3)c2)cc1,161445,1,3593,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,454524,CCOC(=O)c1ccc(/N=C/c2cccc(S[U])c2)cc1,55917,COC(=O)c1cc(C)c2nc(N[U])sc2c1,,
CCOC(=O)c1ccc(C(=O)CNc2cc3cn[nH]c3cc2C(=O)OC)cc1,161471,1,3605,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,493358,CCOC(=O)c1ccc(C(=O)C[U])cc1,55996,COC(=O)c1cc2[nH]ncc2cc1N[U],,
CCOC(=O)c1ccc(CS(=O)(=O)c2cc(C(=O)OC)ccc2S(C)(=O)=O)cc1,161559,1,3642,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,287270,CCOC(=O)c1ccc(CS(=O)(=O)[U])cc1,268233,COC(=O)c1ccc(S(C)(=O)=O)c([U])c1,,
CCOC(=O)c1ccc(N2CCN(C)CC2)c(Cc2nc3ccc(C(=O)OC)cc3n2C[C@@H]2CCO2)c1,161594,1,3658,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,468081,CCOC(=O)c1ccc(N2CCN(C)CC2)c([U])c1,493765,COC(=O)c1ccc2nc(C[U])n(C[C@@H]3CCO3)c2c1,,
CCOC(=O)c1ccc(NC(=O)C=CC(=O)Oc2ccc(C(=O)OC(C)(C)C)cc2)cc1,161619,1,3668,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,346104,CCOC(=O)c1ccc(NC(=O)C=CC(=O)[U])cc1,483857,CC(C)(C)OC(=O)c1ccc(O[U])cc1,,
CCOC(=O)c1ccc(NC(=O)CCC[N]([Np])N=NOc2ccc(C(=O)OCCC(C)C)cc2)cc1,161624,0,3670,0.001533810679324463,0.001533810679324463,0.0,1,custom,7a,289430,CCOC(=O)c1ccc(NC(=O)CCCN([Np])N=N[U])cc1,484184,CC(C)CCOC(=O)c1ccc(O[U])cc1,,
CCOC(=O)c1ccc(NC(=O)CSCC[C]([Np])=NC(=N[O][Np])c2cc(C(=O)OC)ccc2OC(C)C)cc1,161634,1,3673,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,4a,213624,CCOC(=O)c1ccc(NC(=O)CSCCC(=[U])[Np])cc1,208216,COC(=O)c1ccc(OC(C)C)c(C(N=[U])=NO[Np])c1,,
CCOC(=O)c1ccc(SOc2ccc(C(=O)OCC)c([N+](=O)[O-])c2)cc1B1OC(C)(C)C(C)(C)O1,161691,1,3698,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,454554,CCOC(=O)c1ccc(S[U])cc1B1OC(C)(C)C(C)(C)O1,485691,CCOC(=O)c1ccc(O[U])cc1[N+](=O)[O-],,
CCOC(=O)c1ccc([N+](=O)[O-])c(OOc2cc(OC)c(Br)cc2C(=O)OC)c1,161705,1,3705,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,485692,CCOC(=O)c1ccc([N+](=O)[O-])c(O[U])c1,486286,COC(=O)c1cc(Br)c(OC)cc1O[U],,
CCOC(=O)c1ccc(Oc2cc(F)c(C(=O)OC)cc2Cl)c(O)c1O,161723,1,3714,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,267181,CCOC(=O)c1ccc([U])c(O)c1O,486318,COC(=O)c1cc(Cl)c(O[U])cc1F,,
CCOC(=O)c1ccc2[nH]nc(Oc3cc(C(=O)OC)c(N)cc3OC)c2c1,161747,1,3726,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,468112,CCOC(=O)c1ccc2[nH]nc([U])c2c1,486352,COC(=O)c1cc(O[U])c(OC)cc1N,,
CCOC(=O)c1ccc2cc(OOc3cc(C(=O)OC)c([N+](=O)[O-])cc3OC)ccc2c1,161749,1,3727,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,485693,CCOC(=O)c1ccc2cc(O[U])ccc2c1,486353,COC(=O)c1cc(O[U])c(OC)cc1[N+](=O)[O-],,
